"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"DESMA 25 - LUCAS, W.H.",0.381,0.19,0.238,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 289 - WILLIS, H.L.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 403 - FERRER, C.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 403 - MCWILLIAMS, C.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 495 - MOELLER, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 101 - SANDERS, A.",0.861,0.016,0.098,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 150 - CHO, S.",0.6,NA,0.133,0.067,0.067,0.067,NA,NA,0.067,NA,NA,NA,NA
"DGT HUM 201 - POSNER, M.",0.706,0.059,NA,0.059,0.059,0.059,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - HERNANDEZ, F.A.",0.351,0.091,0.481,0.026,NA,0.026,0.013,NA,0.013,NA,NA,NA,NA
"DIS STD 195CE - MARKS, V.E.",0.867,0.067,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"DIS STD M103 - WOLF, S.M.",0.455,0.273,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"DIS STD M148 - SCHOTTMILLER, C.D.",0.935,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUTCH 103A - BRIER, M.F.",0.37,NA,0.481,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 1 - ALWAN, A.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 100 - PAMARTI, S.",0.11,0.153,0.043,0.163,0.115,0.196,0.062,0.014,0.1,0.01,NA,0.019,0.014
"EC ENGR 101A - EMAMINEJAD, S.",0.224,0.336,0.037,0.093,0.037,0.206,NA,NA,0.065,NA,NA,NA,NA
"EC ENGR 102 - KAO, J.C.",0.317,0.143,0.053,0.111,0.116,0.127,0.016,0.026,0.032,0.021,0.011,0.011,0.016
"EC ENGR 10H - ABIDI, A.A.",0.118,0.294,NA,0.294,0.176,0.118,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 110L - MESGHALI, F.",0.3,0.2,NA,0.25,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 110L - MESGHALI, F. LEC 2",0.375,0.25,NA,0.188,0.062,0.125,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 112 - CASTANEDA, J.J.",0.556,0.074,0.296,0.037,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 113 - ALWAN, A.A.",0.2,0.133,0.067,0.333,0.2,NA,NA,NA,NA,NA,NA,NA,0.067
"EC ENGR 113 - CABRIC, D.",0.151,0.132,0.094,0.151,0.132,0.132,0.019,0.075,0.113,NA,NA,NA,NA
"EC ENGR 113DA - BRIGGS, D.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 114 - LORENZELLI, F.",0.186,0.163,NA,0.163,0.14,0.279,0.023,NA,0.023,NA,NA,0.023,NA
"EC ENGR 115A - DARABI, H.",0.195,0.134,0.195,0.146,0.061,0.122,0.037,0.037,0.061,NA,NA,NA,0.012
"EC ENGR 11L - ABIDI, A.A.",0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 121B - IYER, S.S.",0.136,0.136,0.136,0.091,0.227,0.091,0.045,0.045,0.045,NA,NA,NA,0.045
"EC ENGR 123A - CANDLER, R.N.",0.242,0.152,NA,0.212,0.03,0.152,NA,NA,0.182,NA,NA,NA,0.03
"EC ENGR 131A - DOLECEK, L.",0.077,0.308,0.077,0.077,0.077,0.385,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 131A - PANDYA, A.N.",0.152,0.239,0.043,0.163,0.12,0.152,0.065,NA,0.065,NA,NA,NA,NA
"EC ENGR 132B - RUBIN, I.",0.425,0.125,0.05,0.075,NA,0.3,0.025,NA,NA,NA,NA,NA,NA
"EC ENGR 132B - RUBIN, I. LEC 80",0.333,0.333,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 133A - VANDENBERGHE, L.",0.302,0.095,0.063,0.159,0.095,0.079,0.048,0.048,0.032,0.016,NA,NA,0.048
"EC ENGR 163A - BABAKHANI, A.",0.136,0.227,0.182,0.045,NA,0.409,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 170A - JALALI, B.",0.094,0.132,0.019,0.208,0.226,0.038,0.075,0.019,0.132,0.038,NA,NA,0.019
"EC ENGR 173DA - STAFSUDD, O.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 180DA - POTTIE, G.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 188 - BASIRKAZERUNI, S.",0.25,NA,0.083,0.167,NA,0.25,NA,0.083,0.083,NA,NA,NA,0.083
"EC ENGR 189 - KAO, J.C.",0.857,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 19 - KADAMBI, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 194 - OZCAN, A.",0.826,NA,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 2 - SOKOLICH, M.",0.274,0.119,0.048,0.226,0.095,0.214,0.012,NA,0.012,NA,NA,NA,NA
"EC ENGR 205A - RYU, E.K.",0.232,0.152,0.111,0.192,0.071,0.152,0.03,NA,0.061,NA,NA,NA,NA
"EC ENGR 209AS - CHEN, X.",0.417,0.306,0.139,0.028,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - MEHTA, A.M.",0.387,0.323,0.032,0.065,NA,0.161,NA,NA,NA,NA,NA,NA,0.032
"EC ENGR 215A - MOLOUDI, S.",0.1,0.2,0.067,0.167,0.033,0.333,NA,0.067,0.033,NA,NA,NA,NA
"EC ENGR 215A - MOLOUDI, S. LEC 80",0.176,0.059,0.059,0.059,0.235,0.235,0.118,NA,NA,NA,NA,NA,0.059
"EC ENGR 216B - MARKOVIC, D.",0.286,0.286,0.286,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 223 - WONG, C.",0.69,0.069,0.069,NA,0.069,0.103,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 230A - YAO, K.",0.273,0.545,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 236A - FRAGOULI, C.P.",0.255,0.314,0.01,0.137,0.029,0.225,0.02,NA,0.01,NA,NA,NA,NA
"EC ENGR 239AS - KADAMBI, A.",0.452,0.333,0.012,0.083,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 241A - DIGGAVI, S.N.",0.485,0.121,0.03,0.061,NA,0.303,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 260A - RAHMAT-SAMII, Y.",0.4,0.2,NA,0.133,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 262 - WANG, Y.",0.455,0.182,0.091,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 270 - WILLIAMS, B.S.",0.409,0.318,NA,0.182,0.045,0.045,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 295 - WATSON, D.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 296 - SRIVASTAVA, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 297 - DIGGAVI, S.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 3 - BRIGGS, D.M.",0.31,0.196,0.089,0.101,0.051,0.19,0.019,0.006,0.019,NA,0.006,NA,NA
"EC ENGR 597A - KAO, J.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M116C - GUPTA, P.",0.344,0.156,NA,0.125,0.094,0.062,0.031,0.031,0.062,NA,0.031,0.062,NA
"EC ENGR M202A - SRIVASTAVA, M.B.",0.261,0.391,0.217,0.043,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M216A - YANG, C.K.",0.233,0.233,NA,0.1,0.067,0.367,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M240A - TABUADA, P.",0.4,NA,0.1,0.2,0.1,0.1,NA,NA,NA,NA,NA,NA,0.1
"EC ENGR M495 - POTTIE, G.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M495 - POTTIE, G.J. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 1 - OSEI TWUMASI, O.I.",0.156,0.098,0.066,0.156,0.082,0.18,0.115,0.066,0.066,0.008,NA,NA,NA
"ECON 1 - ROJAS, R.R.",0.142,0.087,0.071,0.087,0.142,0.11,0.047,0.087,0.087,0.024,0.008,0.063,0.031
"ECON 101 - VOGEL, J.E.",0.217,0.081,0.086,0.111,0.106,0.152,0.03,0.02,0.121,0.04,NA,NA,0.025
"ECON 102 - GEEROLF, F.",0.118,0.118,0.048,0.136,0.118,0.075,0.096,0.075,0.096,0.031,0.009,0.035,0.039
"ECON 103 - CONVERY, P.D.",0.204,0.057,0.041,0.159,0.106,0.106,0.118,0.053,0.098,0.029,0.004,0.008,0.008
"ECON 103L - CONVERY, P.D.",0.204,0.057,0.041,0.159,0.106,0.106,0.118,0.053,0.098,0.029,0.004,0.008,0.008
"ECON 106M - WILLIAMS, T.J.",0.238,0.038,0.012,0.338,0.1,0.075,0.1,0.038,0.05,NA,NA,NA,NA
"ECON 106ML - WILLIAMS, T.J.",0.238,0.038,0.012,0.338,0.1,0.075,0.1,0.038,0.05,NA,NA,NA,NA
"ECON 106P - MCDEVITT, E.P.",0.152,0.109,0.13,0.212,0.13,0.13,0.054,NA,0.071,NA,NA,NA,0.005
"ECON 106PL - MCDEVITT, E.P.",0.152,0.109,0.13,0.212,0.13,0.13,0.054,NA,0.071,NA,NA,NA,0.005
"ECON 11 - MAZZOCCO, M.",0.357,0.091,0.079,0.19,0.032,0.099,0.064,0.023,0.044,NA,NA,0.006,0.015
"ECON 11 - MAZZOCCO, M. LEC 2",0.143,0.107,0.021,0.154,0.139,0.093,0.086,0.064,0.096,0.018,0.004,0.046,0.025
"ECON 111 - OSEI TWUMASI, O.I.",0.257,0.125,0.092,0.138,0.053,0.257,0.039,NA,0.039,NA,NA,NA,NA
"ECON 121 - FAJGELBAUM, P.D.",0.096,0.241,0.036,0.205,0.133,0.253,0.012,NA,0.012,NA,NA,NA,0.012
"ECON 121L - FAJGELBAUM, P.D.",0.663,0.169,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 130 - LLERAS-MUNEY, A.",0.344,0.151,0.301,0.043,0.032,0.108,0.011,NA,0.011,NA,NA,NA,NA
"ECON 130L - LLERAS-MUNEY, A.",0.344,0.14,0.301,0.043,0.032,0.118,0.011,NA,0.011,NA,NA,NA,NA
"ECON 134 - TAKATSUKA, Y.",0.151,0.144,0.014,0.302,0.072,0.108,0.079,0.036,0.065,0.022,NA,NA,NA
"ECON 143 - MATZKIN, R.L.",0.159,0.159,0.254,0.143,0.032,0.143,0.016,0.032,0.016,NA,NA,NA,NA
"ECON 150 - MCDEVITT, E.P.",0.185,0.084,0.109,0.202,0.059,0.134,0.076,0.034,0.092,0.017,NA,NA,NA
"ECON 160 - SAEIDINEZHAD, E.",0.074,0.132,0.041,0.19,0.116,0.174,0.058,0.025,0.124,0.025,NA,0.008,NA
"ECON 167 - ATKESON, A.G.",0.718,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 168 - SIMON, W.E.",0.513,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 185 - ROSS, S.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - GEEROLF, F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - SANTOS, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 2 - SAEIDINEZHAD, E.",0.058,0.109,0.029,0.219,0.117,0.285,0.058,0.022,0.073,NA,NA,0.022,NA
"ECON 200 - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 201A - OBARA, I.",0.273,0.242,0.091,0.152,0.03,0.212,NA,NA,NA,NA,NA,NA,NA
"ECON 202A - HANSEN, G.D.",0.182,0.091,0.091,0.273,0.091,0.273,NA,NA,NA,NA,NA,NA,NA
"ECON 203A - HAHN, J.",0.421,0.158,NA,0.105,0.053,0.263,NA,NA,NA,NA,NA,NA,NA
"ECON 211B - MEYER-TER-VEHN, M.",0.5,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 218A - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 219A - BOARD, S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 221A - GEEROLF, F.",0.333,0.167,0.333,0.083,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ECON 228A - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 229A - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 238A - CHETVERIKOV, D.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 239A - CHETVERIKOV, D.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 241 - GIORCELLI, M.",0.5,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 248A - COSTA, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 261A - MAZZOCCO, M.",0.308,0.154,0.077,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
"ECON 262P - LLERAS-MUNEY, A.",0.4,0.133,0.267,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ECON 268A - LLERAS-MUNEY, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 269A - LLERAS-MUNEY, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 278A - HACKMANN, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 279A - HACKMANN, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 288A - FAJGELBAUM, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - GIORCELLI, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - SADZIK, T.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - SHENG, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 401A - BOARD, S.A.",0.333,0.286,0.095,0.143,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"ECON 402A - OHANIAN, L.",0.283,0.321,0.113,0.075,NA,0.189,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - HAHN, J.",0.079,0.105,0.079,0.105,0.105,0.158,0.079,0.079,0.105,NA,NA,0.053,0.053
"ECON 41 - ROJAS, R.R.",0.039,0.125,0.132,0.105,0.086,0.145,0.059,0.039,0.099,0.02,0.013,0.066,0.066
"ECON 410 - TORNELL, A.",0.114,0.043,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 429A - ROTHMAN, V.",0.525,0.275,0.075,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ECON 429A - SHATZER, N.J.",0.3,0.367,0.067,NA,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"ECON 430 - ROJAS, R.R.",0.103,0.276,0.138,0.069,0.103,0.241,NA,NA,0.069,NA,NA,NA,NA
"ECON 430 - ROJAS, R.R. LEC 2",0.122,0.341,0.122,0.195,NA,0.195,NA,NA,NA,NA,NA,NA,NA
"ECON 431 - CONVERY, P.D.",0.214,0.2,0.071,0.186,0.014,0.3,NA,NA,NA,NA,NA,NA,NA
"ECON 495 - MCGARRY, K.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - MAZZOCCO, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON M188 - ATKESON, A.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 10 - MANCEVICE, N.A.",0.423,0.205,0.346,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 129 - PURDY, W.C.",0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033
"EDUC 152A - DESJARDINS, R.",0.222,0.25,0.083,0.139,NA,0.25,NA,0.056,NA,NA,NA,NA,NA
"EDUC 187 - DENG, M.C.",0.286,0.214,0.357,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - KARRAS, J.E.",0.265,0.235,0.324,0.059,NA,0.059,0.029,NA,0.029,NA,NA,NA,NA
"EDUC 187 - MARKOWITZ, A.J.",0.368,0.211,0.053,0.158,0.079,0.132,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - MECHIKOFF, R.A.",0.375,0.188,NA,NA,0.312,0.125,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - SUAREZ-OROZCO, C.E",0.619,0.19,0.071,0.024,0.024,0.071,NA,NA,NA,NA,NA,NA,NA
"EDUC 19 - HARRIS, J.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191B - HARRISON, O.C.",0.158,0.263,NA,0.211,NA,0.368,NA,NA,NA,NA,NA,NA,NA
"EDUC 196C - NIMMO-RAMIREZ, L.A",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196D - BANG, S.H.",0.893,0.036,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 200B - MARTINEZ-FERNANDE",0.5,0.056,0.278,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"EDUC 200D - GARCIA, D.G.",0.769,0.077,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EDUC 204A - DORIO, J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204B - OMWAMI, E.S.",0.538,0.077,0.308,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EDUC 217D - BAILEY, A.",0.684,0.105,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - GOMEZ, K.",0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - MCCARTY, T.L.",0.917,NA,0.042,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - COOPER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - NOGUERA, P.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - SELTZER, M.H.",0.967,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - WEBB, N.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230AL - SELTZER, M.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230AL - WEBB, N.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 234 - DESJARDINS, R.",0.417,0.5,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - HURTADO, S.",0.643,0.143,0.143,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - MCDONOUGH, P.M.",0.385,0.385,0.154,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EDUC 255C - JEON, M.",0.231,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 261F - HARRIS, J.C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 263 - JAQUETTE, O.",0.789,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - ALLEN, W.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - CHANG, M.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - DESJARDINS, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GOMEZ, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GRAHAM, S.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - JEON, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - KASARI, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - OMWAMI, E.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - SOLORZANO, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - TORRES, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296A - ROHANNA, K.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296D - GOMEZ, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296I - MCADOO, D.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296J - MARTINEZ-FERNANDE",0.414,0.345,NA,NA,NA,0.241,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - JEON, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - RIOS AGUILAR, C.",0.688,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - BAILEY, A.",0.733,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315 - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 319 - ARIAS, M.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 319 - LEE, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - ALBER, R.L.",0.231,0.154,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - NAVA-LANDEROS, I.",0.421,0.105,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - PARK, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - PEREZ, E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 35 - TOBIASON, G.A.",0.338,0.169,0.197,0.07,0.07,0.07,0.014,0.028,0.028,NA,NA,NA,0.014
"EDUC 360A - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 390A - GRAMMER, J.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ALBER, R.L.",0.385,0.154,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ARIAS, M.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - LEE, D.O.",0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - PARK, J.J.",0.903,NA,0.032,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA
"EDUC 405A - RAFI, F.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - NOGUERA, P.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - SANTIBANEZ, L.",0.606,0.091,0.182,NA,0.03,0.061,NA,NA,NA,NA,NA,NA,NA
"EDUC 406B - GUILLEN, L.I.",0.875,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - DARBY, J.T.",0.862,NA,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - DARBY, J.T. LEC 4",0.85,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - ORELLANA, M.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - SANDOVAL, W.A.",0.5,0.308,0.077,0.038,0.038,NA,NA,NA,NA,NA,NA,NA,0.038
"EDUC 411 - CHRISTIE, C.A.",0.767,0.067,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413A - NAVARRO, B.A.",0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - RAFI, F.H.",0.816,NA,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 448B - GOMEZ, L.M.",0.6,NA,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 451 - COOPER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 452A - MCDONOUGH, P.M.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 455 - DURKIN, D.",0.708,0.042,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458A - DURKIN, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
